m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
804,Water use,Water withdrawal by sector,Municipal water withdrawal,Ukraine,2021,2.391,10^9 m3/year,A,false
804,Water use,Water withdrawal by sector,Municipal water withdrawal,Ukraine,2022,1.66,10^9 m3/year,A,false
826,Water use,Water withdrawal by sector,Municipal water withdrawal,United Kingdom of Great Britain and Northern Ireland,2019,6.227,10^9 m3/year,I,false
826,Water use,Water withdrawal by sector,Municipal water withdrawal,United Kingdom of Great Britain and Northern Ireland,2020,6.227,10^9 m3/year,I,false
826,Water use,Water withdrawal by sector,Municipal water withdrawal,United Kingdom of Great Britain and Northern Ireland,2021,6.227,10^9 m3/year,I,false
826,Water use,Water withdrawal by sector,Municipal water withdrawal,United Kingdom of Great Britain and Northern Ireland,2022,6.227,10^9 m3/year,I,false
840,Water use,Water withdrawal by sector,Municipal water withdrawal,United States of America,2019,58.39,10^9 m3/year,I,false
840,Water use,Water withdrawal by sector,Municipal water withdrawal,United States of America,2020,58.39,10^9 m3/year,I,false
840,Water use,Water withdrawal by sector,Municipal water withdrawal,United States of America,2021,58.39,10^9 m3/year,I,false
840,Water use,Water withdrawal by sector,Municipal water withdrawal,United States of America,2022,58.39,10^9 m3/year,I,false
8,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Albania,2019,21.04332449,%,E,false
8,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Albania,2020,28.6259542,%,E,false
8,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Albania,2021,27.88944724,%,E,false
8,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Albania,2022,27.72898369,%,E,false
12,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Algeria,2019,33.01365706,%,E,false
12,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Algeria,2020,32.36392743,%,E,false
12,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Algeria,2021,30.91046041,%,E,false
12,Water use,Water withdrawal by sector,Municipal water withdrawal as % of total withdrawal,Algeria,2022,30.9187118,%,E,false
